"member","location","asNumber"
"Member","Location","AS number"
"4TEL Telekomunikacije","CIX1","203964"
"A1 Hrvatska d.o.o.","CIX1","15994"
"AKD d.o.o.","CIX1","59866"
"AKENES SA","","61098"
"Akton d.o.o.","CIX1","25467"
"Avalon d.o.o.","CIX2","201563"
"BTnet d.o.o.","CIX1","1886"
"Cloudflare Inc","CIX2","13335"
"CRATIS d.o.o.","CIX2, CIX3","61094"
"DATABOX d.o.o.","CIX1","206575"
"Digital Realty","CIX2","199244"
"EcoNet d.o.o.","CIX3","207541"
"EOLO d.d.","CIX1","201987"
"Fenice Telekom Grupa d.o.o.","CIX1","204020"
"HAKOM","CIX1","207514"
"Hrvatska akademska i istraživačka mreža - CARNet","CIX1","2108"
"HEP Telekomunikacije d.o.o.","CIX1","25328"
"Hrvatski Telekom d.d.","CIX1","5391"
"Hurricane Electric LLC","CIX1","6939"
"Infobip d.o.o.","CIX2","43009"
"Iskon Internet d.d.","CIX1","13046"
"Magic Net d.o.o.","CIX1","44377"
"Microsoft Hrvatska d.o.o.","CIX1, CIX2","8075"
"Ministarstvo pravosuđa, uprave i digitalne transformacije","CIX1, CIX2","41336"
"Odašiljači i veze d.o.o.","CIX1, CIX2","48797"
"Omonia d.o.o.","CIX1","44306"
"Optika kabel TV d.o.o.","CIX1","41454"
"Packet Clearing House - PCH","CIX1","42, 3856"
"PRO-PING d.o.o.","CIX1","62161"
"Release14 d.o.o.","","210730"
"Sedmi odjel d.o.o.","CIX2","198785"
"SETCOR d.o.o.","CIX1","61211"
"Softnet d.o.o.","CIX1","9119"
"Stelkom d.o.o.","CIX1","43061"
"Styria IT Solutions d.o.o.","CIX1, CIX2","51577"
"T - 2 d.o.o.","CIX 2","34779"
"Telemach Hrvatska d.o.o.","CIX1, CIX2","205714, 34594"
"Terrakom d.o.o.","CIX1","34362"
"United group network infrastructure d.o.o.","CIX2","31042"
"VeriSign Netherlands VB","CIX1","26415"
